STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-01,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-02,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-03,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-04,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-05,,,0.03,0.1,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-06,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-07,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-09,,,0.39,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-10,,,0.21,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-11,,,0.15,1.2,1.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-12,,,0.19,1.7,3.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-13,,,0.01,0.4,2.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-14,,,0.04,0.6,3.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-15,,,0.0,0.0,2.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-16,,,0.21,0.0,1.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-17,,,0.0,0.0,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-18,,,0.0,0.0,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-19,,,0.0,0.0,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-20,,,0.0,0.0,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-21,,,0.0,0.0,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-22,,,0.0,0.0,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-23,,,0.0,0.0,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-24,,,0.0,0.0,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-25,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-26,,,0.05,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-27,,,0.0,0.3,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-28,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-29,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-30,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-01-31,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-01,,,0.2,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-02,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-03,,,0.38,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-04,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-05,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-06,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-07,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-09,,,0.05,0.6,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-10,,,0.02,0.0,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-11,,,0.0,0.0,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-12,,,0.0,0.0,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-13,,,0.0,0.2,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-14,,,0.0,0.0,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-15,,,0.01,0.3,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-16,,,0.0,0.2,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-17,,,0.03,0.7,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-18,,,0.0,0.0,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-19,,,0.0,0.0,0.5,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-20,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-21,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-22,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-23,,,0.0,0.0,0.0,,,,
US1MIWS0007,"ANN ARBOR 3.1 SE, MI US",2016-02-24,,,0.0,0.0,0.0,,,,
